date,LogTitle,message,exception,machinename,appdomain,assembly-version,basedir,callsite,counter,nlogdir,processid,processname,specialfolder,stacktrace,longdate,event-properties,uppercase,logger,url,action
2025/01/20 17:17:10.792,SqlSugar,执行SQL错误事件,"SqlSugar.SqlSugarException: 中文提示 :  连接数据库过程中发生错误，检查服务器是否正常连接字符串是否正确，错误信息：Keyword not supported: 'port'..
English Message : Connection open error . Keyword not supported: 'port'. ",PC-20220610JUCQ,0001:CoreCms.Net.Web.WebApi, 1.0.0.0,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,2,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0,8500,CoreCms.Net.Web.WebApi,C:\Users\Desktop,AdoProvider.ExecuteErrorEvent => <>c.<AddSqlSugarSetup>b__0_1 => NLogUtil.WriteFileLog,2025-01-20 17:17:10.7920,,ERROR,logfile,,
2025/01/20 17:17:10.792,SqlSugar,执行SQL错误事件,"SqlSugar.SqlSugarException: 中文提示 :  连接数据库过程中发生错误，检查服务器是否正常连接字符串是否正确，错误信息：Keyword not supported: 'port'..
English Message : Connection open error . Keyword not supported: 'port'. ",PC-20220610JUCQ,0001:CoreCms.Net.Web.WebApi, 1.0.0.0,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,3,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0,8500,CoreCms.Net.Web.WebApi,C:\Users\Desktop,AdoProvider.ExecuteErrorEvent => <>c.<AddSqlSugarSetup>b__0_1 => NLogUtil.WriteFileLog,2025-01-20 17:17:10.7920,,ERROR,logfile,,
2025/01/20 17:17:10.792,SqlSugar,执行SQL错误事件,"SqlSugar.SqlSugarException: 中文提示 :  连接数据库过程中发生错误，检查服务器是否正常连接字符串是否正确，错误信息：Keyword not supported: 'port'..
English Message : Connection open error . Keyword not supported: 'port'. ",PC-20220610JUCQ,0001:CoreCms.Net.Web.WebApi, 1.0.0.0,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,4,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0,8500,CoreCms.Net.Web.WebApi,C:\Users\Desktop,AdoProvider.ExecuteErrorEvent => <>c.<AddSqlSugarSetup>b__0_1 => NLogUtil.WriteFileLog,2025-01-20 17:17:10.7920,,ERROR,logfile,,
2025/01/20 17:17:10.792,SqlSugar,执行SQL错误事件,"SqlSugar.SqlSugarException: 中文提示 :  连接数据库过程中发生错误，检查服务器是否正常连接字符串是否正确，错误信息：Keyword not supported: 'port'..
English Message : Connection open error . Keyword not supported: 'port'. ",PC-20220610JUCQ,0001:CoreCms.Net.Web.WebApi, 1.0.0.0,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,5,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0,8500,CoreCms.Net.Web.WebApi,C:\Users\Desktop,AdoProvider.ExecuteErrorEvent => <>c.<AddSqlSugarSetup>b__0_1 => NLogUtil.WriteFileLog,2025-01-20 17:17:10.7920,,ERROR,logfile,,
2025/01/20 17:17:10.792,SqlSugar,执行SQL错误事件,"SqlSugar.SqlSugarException: 中文提示 :  连接数据库过程中发生错误，检查服务器是否正常连接字符串是否正确，错误信息：Keyword not supported: 'port'..
English Message : Connection open error . Keyword not supported: 'port'. ",PC-20220610JUCQ,0001:CoreCms.Net.Web.WebApi, 1.0.0.0,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,6,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0,8500,CoreCms.Net.Web.WebApi,C:\Users\Desktop,AdoProvider.ExecuteErrorEvent => <>c.<AddSqlSugarSetup>b__0_1 => NLogUtil.WriteFileLog,2025-01-20 17:17:10.7920,,ERROR,logfile,,
2025/01/20 17:17:10.792,SqlSugar,执行SQL错误事件,"SqlSugar.SqlSugarException: 中文提示 :  连接数据库过程中发生错误，检查服务器是否正常连接字符串是否正确，错误信息：Keyword not supported: 'port'..
English Message : Connection open error . Keyword not supported: 'port'. ",PC-20220610JUCQ,0001:CoreCms.Net.Web.WebApi, 1.0.0.0,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,7,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0,8500,CoreCms.Net.Web.WebApi,C:\Users\Desktop,AdoProvider.ExecuteErrorEvent => <>c.<AddSqlSugarSetup>b__0_1 => NLogUtil.WriteFileLog,2025-01-20 17:17:10.7920,,ERROR,logfile,,
2025/01/20 17:17:10.792,SqlSugar,执行SQL错误事件,"SqlSugar.SqlSugarException: 中文提示 :  连接数据库过程中发生错误，检查服务器是否正常连接字符串是否正确，错误信息：Keyword not supported: 'port'..
English Message : Connection open error . Keyword not supported: 'port'. ",PC-20220610JUCQ,0001:CoreCms.Net.Web.WebApi, 1.0.0.0,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,8,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0,8500,CoreCms.Net.Web.WebApi,C:\Users\Desktop,AdoProvider.ExecuteErrorEvent => <>c.<AddSqlSugarSetup>b__0_1 => NLogUtil.WriteFileLog,2025-01-20 17:17:10.7920,,ERROR,logfile,,
2025/01/20 17:17:10.792,SqlSugar,执行SQL错误事件,"SqlSugar.SqlSugarException: 中文提示 :  连接数据库过程中发生错误，检查服务器是否正常连接字符串是否正确，错误信息：Keyword not supported: 'port'..
English Message : Connection open error . Keyword not supported: 'port'. ",PC-20220610JUCQ,0001:CoreCms.Net.Web.WebApi, 1.0.0.0,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,9,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0,8500,CoreCms.Net.Web.WebApi,C:\Users\Desktop,AdoProvider.ExecuteErrorEvent => <>c.<AddSqlSugarSetup>b__0_1 => NLogUtil.WriteFileLog,2025-01-20 17:17:10.7920,,ERROR,logfile,,
2025/01/20 17:17:10.792,SqlSugar,执行SQL错误事件,"SqlSugar.SqlSugarException: 中文提示 :  连接数据库过程中发生错误，检查服务器是否正常连接字符串是否正确，错误信息：Keyword not supported: 'port'..
English Message : Connection open error . Keyword not supported: 'port'. ",PC-20220610JUCQ,0001:CoreCms.Net.Web.WebApi, 1.0.0.0,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,10,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0,8500,CoreCms.Net.Web.WebApi,C:\Users\Desktop,AdoProvider.ExecuteErrorEvent => <>c.<AddSqlSugarSetup>b__0_1 => NLogUtil.WriteFileLog,2025-01-20 17:17:10.7920,,ERROR,logfile,,
2025/01/20 17:17:10.792,SqlSugar,执行SQL错误事件,"SqlSugar.SqlSugarException: 中文提示 :  连接数据库过程中发生错误，检查服务器是否正常连接字符串是否正确，错误信息：Keyword not supported: 'port'..
English Message : Connection open error . Keyword not supported: 'port'. ",PC-20220610JUCQ,0001:CoreCms.Net.Web.WebApi, 1.0.0.0,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,11,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0,8500,CoreCms.Net.Web.WebApi,C:\Users\Desktop,AdoProvider.ExecuteErrorEvent => <>c.<AddSqlSugarSetup>b__0_1 => NLogUtil.WriteFileLog,2025-01-20 17:17:10.7920,,ERROR,logfile,,
