date,LogTitle,message,exception,machinename,appdomain,assembly-version,basedir,callsite,counter,nlogdir,processid,processname,specialfolder,stacktrace,longdate,event-properties,uppercase,logger,url,action
2025/01/20 17:11:24.873,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.WebApi, 1.0.0.0,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0,23992,iisexpress,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-01-20 17:11:24.8731,,TRACE,logfile,,
2025/01/20 17:17:10.183,接口启动,接口启动成功,,PC-20220610JUCQ,0001:CoreCms.Net.Web.WebApi, 1.0.0.0,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0\,CoreCms.Net.Loging.NLogUtil.WriteFileLog,1,F:\Git_Code\CoreShop\CoreCms.Net.Web.WebApi\bin\Debug\net8.0,8500,CoreCms.Net.Web.WebApi,C:\Users\Desktop,Program.Main => NLogUtil.WriteLogFile => NLogUtil.WriteFileLog,2025-01-20 17:17:10.1838,,TRACE,logfile,,
